,k,points_per_color,seed,weight_method,use_subsampling,subsample_ratio,majority_share,runtime
0,4,"[1250, 3750]",0,uniform,True,0.01,1.0,2.313782215118408
1,4,"[1250, 3750]",0,uniform,True,0.02,1.0,2.631079912185669
2,4,"[1250, 3750]",0,uniform,True,0.03,1.0,3.1142094135284424
3,4,"[1250, 3750]",0,uniform,True,0.04,1.0,3.89182186126709
4,4,"[1250, 3750]",0,uniform,True,0.05,1.0,4.866631507873535
5,4,"[1666, 3334]",0,uniform,True,0.01,1.0,2.2982702255249023
6,4,"[1666, 3334]",0,uniform,True,0.02,1.0,2.5565810203552246
7,4,"[1666, 3334]",0,uniform,True,0.03,1.0,2.9101436138153076
8,4,"[1666, 3334]",0,uniform,True,0.04,1.0,3.398031711578369
9,4,"[1666, 3334]",0,uniform,True,0.05,1.0,4.297704219818115
10,4,"[2000, 3000]",0,uniform,True,0.01,1.0,2.3659017086029053
11,4,"[2000, 3000]",0,uniform,True,0.02,1.0,2.5918562412261963
12,4,"[2000, 3000]",0,uniform,True,0.03,1.0,2.875586748123169
13,4,"[2000, 3000]",0,uniform,True,0.04,1.0,3.3344080448150635
14,4,"[2000, 3000]",0,uniform,True,0.05,1.0,3.8198394775390625
15,4,"[1250, 3750]",1,uniform,True,0.01,1.0,2.2833070755004883
16,4,"[1250, 3750]",1,uniform,True,0.02,1.0,2.7356250286102295
17,4,"[1250, 3750]",1,uniform,True,0.03,1.0,2.9447505474090576
18,4,"[1250, 3750]",1,uniform,True,0.04,1.0,3.795764446258545
19,4,"[1250, 3750]",1,uniform,True,0.05,1.0,4.185159206390381
20,4,"[1666, 3334]",1,uniform,True,0.01,1.0,2.2363979816436768
21,4,"[1666, 3334]",1,uniform,True,0.02,1.0,2.530928134918213
22,4,"[1666, 3334]",1,uniform,True,0.03,1.0,2.834717035293579
23,4,"[1666, 3334]",1,uniform,True,0.04,1.0,3.304809331893921
24,4,"[1666, 3334]",1,uniform,True,0.05,1.0,3.985949754714966
25,4,"[2000, 3000]",1,uniform,True,0.01,1.0,2.3102266788482666
26,4,"[2000, 3000]",1,uniform,True,0.02,1.0,2.627492666244507
27,4,"[2000, 3000]",1,uniform,True,0.03,1.0,2.964210033416748
28,4,"[2000, 3000]",1,uniform,True,0.04,1.0,3.317542552947998
29,4,"[2000, 3000]",1,uniform,True,0.05,1.0,3.819303274154663
30,4,"[1250, 3750]",2,uniform,True,0.01,1.0,2.2687389850616455
31,4,"[1250, 3750]",2,uniform,True,0.02,1.0,2.6426761150360107
32,4,"[1250, 3750]",2,uniform,True,0.03,1.0,2.920240879058838
33,4,"[1250, 3750]",2,uniform,True,0.04,1.0,3.634169340133667
34,4,"[1250, 3750]",2,uniform,True,0.05,1.0,4.752570152282715
35,4,"[1666, 3334]",2,uniform,True,0.01,1.0,2.259504795074463
36,4,"[1666, 3334]",2,uniform,True,0.02,1.0,2.4911601543426514
37,4,"[1666, 3334]",2,uniform,True,0.03,1.0,2.8494653701782227
38,4,"[1666, 3334]",2,uniform,True,0.04,1.0,3.284001588821411
39,4,"[1666, 3334]",2,uniform,True,0.05,1.0,3.8945794105529785
40,4,"[2000, 3000]",2,uniform,True,0.01,1.0,2.3208937644958496
41,4,"[2000, 3000]",2,uniform,True,0.02,1.0,2.5852606296539307
42,4,"[2000, 3000]",2,uniform,True,0.03,1.0,2.9395861625671387
43,4,"[2000, 3000]",2,uniform,True,0.04,1.0,3.4520699977874756
44,4,"[2000, 3000]",2,uniform,True,0.05,1.0,4.048327684402466
45,4,"[1250, 3750]",3,uniform,True,0.01,1.0,2.277526378631592
46,4,"[1250, 3750]",3,uniform,True,0.02,1.0,2.6314640045166016
47,4,"[1250, 3750]",3,uniform,True,0.03,1.0,2.8709452152252197
48,4,"[1250, 3750]",3,uniform,True,0.04,1.0,3.6171329021453857
49,4,"[1250, 3750]",3,uniform,True,0.05,1.0,4.56568169593811
50,4,"[1666, 3334]",3,uniform,True,0.01,1.0,2.250577211380005
51,4,"[1666, 3334]",3,uniform,True,0.02,1.0,2.440965414047241
52,4,"[1666, 3334]",3,uniform,True,0.03,1.0,2.8943707942962646
53,4,"[1666, 3334]",3,uniform,True,0.04,1.0,3.4717695713043213
54,4,"[1666, 3334]",3,uniform,True,0.05,1.0,4.225919246673584
55,4,"[2000, 3000]",3,uniform,True,0.01,1.0,2.273118257522583
56,4,"[2000, 3000]",3,uniform,True,0.02,1.0,2.600351095199585
57,4,"[2000, 3000]",3,uniform,True,0.03,1.0,2.998150110244751
58,4,"[2000, 3000]",3,uniform,True,0.04,1.0,3.3269662857055664
59,4,"[2000, 3000]",3,uniform,True,0.05,1.0,3.804868698120117
60,4,"[1250, 3750]",4,uniform,True,0.01,1.0,2.2923190593719482
61,4,"[1250, 3750]",4,uniform,True,0.02,1.0,2.5674402713775635
62,4,"[1250, 3750]",4,uniform,True,0.03,1.0,2.8803114891052246
63,4,"[1250, 3750]",4,uniform,True,0.04,1.0,3.8107802867889404
64,4,"[1250, 3750]",4,uniform,True,0.05,1.0,4.9236674308776855
65,4,"[1666, 3334]",4,uniform,True,0.01,1.0,2.255174398422241
66,4,"[1666, 3334]",4,uniform,True,0.02,1.0,2.541043758392334
67,4,"[1666, 3334]",4,uniform,True,0.03,1.0,2.780036449432373
68,4,"[1666, 3334]",4,uniform,True,0.04,1.0,3.4333863258361816
69,4,"[1666, 3334]",4,uniform,True,0.05,1.0,4.2937657833099365
70,4,"[2000, 3000]",4,uniform,True,0.01,1.0,2.295011043548584
71,4,"[2000, 3000]",4,uniform,True,0.02,1.0,2.5942487716674805
72,4,"[2000, 3000]",4,uniform,True,0.03,1.0,2.8975298404693604
73,4,"[2000, 3000]",4,uniform,True,0.04,1.0,3.3081207275390625
74,4,"[2000, 3000]",4,uniform,True,0.05,1.0,3.6794230937957764
75,4,"[1250, 3750]",5,uniform,True,0.01,1.0,2.3454620838165283
76,4,"[1250, 3750]",5,uniform,True,0.02,1.0,2.5703606605529785
77,4,"[1250, 3750]",5,uniform,True,0.03,1.0,2.952765464782715
78,4,"[1250, 3750]",5,uniform,True,0.04,1.0,3.4356741905212402
79,4,"[1250, 3750]",5,uniform,True,0.05,1.0,4.2987220287323
80,4,"[1666, 3334]",5,uniform,True,0.01,1.0,2.2612409591674805
81,4,"[1666, 3334]",5,uniform,True,0.02,1.0,2.4915473461151123
82,4,"[1666, 3334]",5,uniform,True,0.03,1.0,2.782008647918701
