,k,points_per_color,seed,weight_method,use_subsampling,subsample_ratio,majority_share,runtime
0,4,"[2000, 3000]",0,uniform,True,0.01,1.0,2.2643566131591797
1,4,"[2000, 3000]",1,uniform,True,0.01,1.0,2.170914649963379
2,4,"[2000, 3000]",2,uniform,True,0.01,1.0,2.1969454288482666
3,4,"[2000, 3000]",3,uniform,True,0.01,1.0,2.1437337398529053
4,4,"[2000, 3000]",4,uniform,True,0.01,1.0,2.1419639587402344
5,4,"[2000, 3000]",5,uniform,True,0.01,1.0,2.195389986038208
6,4,"[2000, 3000]",6,uniform,True,0.01,1.0,2.193509101867676
7,4,"[2000, 3000]",7,uniform,True,0.01,1.0,2.2046658992767334
8,4,"[2000, 3000]",8,uniform,True,0.01,1.0,2.213449716567993
9,4,"[2000, 3000]",9,uniform,True,0.01,1.0,2.2520394325256348
